Date,gross_ret
2023-01-31,0.04649540168835853
2023-02-28,-0.052235854160480155
2023-03-31,-0.035839270626032094
2023-04-30,-0.01526466034891516
2023-05-31,0.060201641607487755
2023-06-30,0.03697254611968992
2023-07-31,0.059593389674203356
2023-08-31,-0.0008858099613323622
2023-09-30,0.010450588160236363
2023-10-31,0.024840432230868625
2023-11-30,0.051555223268326955
2023-12-31,0.061379757489079756
2024-01-31,0.01265091966497267
2024-02-29,-0.030657977148256355
2024-03-31,0.01645112963829387
2024-04-30,-0.0003414171099644925
2024-05-31,0.001834290780429848
2024-06-30,0.04917714850964505
2024-07-31,-0.020159153411365427
2024-08-31,0.12262965344003107
2024-09-30,0.026449233308385
2024-10-31,-0.07331532543518171
2024-11-30,0.09451805700120697
2024-12-31,-0.050808723651585064
2025-01-31,0.07282042671793887
2025-02-28,-0.0994658728331157
2025-03-31,-0.027423458546825596
2025-04-30,0.10772375072636486
2025-05-31,0.02265661911620409
2025-06-30,0.03538810102323375
2025-07-31,-0.07842334937110473
2025-08-31,-0.04937502702244689
2025-09-30,0.04273886499601365
2025-10-31,-0.0437470132312372
2025-11-30,0.008770241497108033
2025-12-31,0.007989100862062948
